match_id,fecha,fase,oponente,periodo,minuto,segundo,equipo,jugador_id,jugador_nombre,receptor_id,receptor_nombre,resultado,longitud_pase,inicio_x,inicio_y,fin_x,fin_y
3857255,2022-12-01,Group Stage,Japan,1,0,0,Spain,133353,Pablo Martín Páez Gavira,6892,Pau Francisco Torres,Complete,31.62673,61.0,40.1,30.3,32.5
3857255,2022-12-01,Group Stage,Japan,1,0,3,Spain,6892,Pau Francisco Torres,68574,Nicholas Williams Arthuer,Incomplete,64.22165,33.5,32.7,84.6,71.6
3857255,2022-12-01,Group Stage,Japan,1,0,12,Spain,3957,César Azpilicueta Tanco,6765,Rodrigo Hernández Cascante,Complete,19.293781,49.6,80.0,33.1,70.0
3857255,2022-12-01,Group Stage,Japan,1,0,16,Spain,6765,Rodrigo Hernández Cascante,6892,Pau Francisco Torres,Complete,31.732002,15.5,62.8,23.9,32.2
3857255,2022-12-01,Group Stage,Japan,1,0,22,Spain,6892,Pau Francisco Torres,6765,Rodrigo Hernández Cascante,Complete,16.37712,31.2,28.7,28.2,44.8
3857255,2022-12-01,Group Stage,Japan,1,0,31,Spain,6765,Rodrigo Hernández Cascante,6892,Pau Francisco Torres,Complete,22.450167,51.9,47.3,50.4,24.9
3857255,2022-12-01,Group Stage,Japan,1,0,36,Spain,6892,Pau Francisco Torres,6765,Rodrigo Hernández Cascante,Complete,16.918629,54.1,27.6,52.1,44.4
3857255,2022-12-01,Group Stage,Japan,1,0,39,Spain,6765,Rodrigo Hernández Cascante,3957,César Azpilicueta Tanco,Complete,22.550388,52.9,45.7,55.5,68.1
3857255,2022-12-01,Group Stage,Japan,1,0,41,Spain,3957,César Azpilicueta Tanco,6892,Pau Francisco Torres,Complete,34.20526,55.7,61.8,43.1,30.0
3857255,2022-12-01,Group Stage,Japan,1,0,44,Spain,6892,Pau Francisco Torres,30486,Pedro González López,Complete,16.772001,43.1,30.0,50.4,14.9
3857255,2022-12-01,Group Stage,Japan,1,0,46,Spain,30486,Pedro González López,6765,Rodrigo Hernández Cascante,Complete,33.878754,47.1,17.3,37.2,49.7
3857255,2022-12-01,Group Stage,Japan,1,0,48,Spain,6765,Rodrigo Hernández Cascante,6892,Pau Francisco Torres,Complete,24.554632,36.7,47.9,25.4,26.1
3857255,2022-12-01,Group Stage,Japan,1,0,50,Spain,6892,Pau Francisco Torres,3957,César Azpilicueta Tanco,Complete,51.36974,25.2,26.1,37.4,76.0
3857255,2022-12-01,Group Stage,Japan,1,0,54,Spain,3957,César Azpilicueta Tanco,5203,Sergio Busquets i Burgos,Complete,17.414074,50.6,72.8,46.4,55.9
3857255,2022-12-01,Group Stage,Japan,1,0,56,Spain,5203,Sergio Busquets i Burgos,6765,Rodrigo Hernández Cascante,Complete,5.5,47.1,57.4,42.7,60.7
3857255,2022-12-01,Group Stage,Japan,1,0,57,Spain,6765,Rodrigo Hernández Cascante,6892,Pau Francisco Torres,Complete,21.789217,42.7,60.7,38.6,39.3
3857255,2022-12-01,Group Stage,Japan,1,1,3,Spain,6892,Pau Francisco Torres,3477,Álvaro Borja Morata Martín,Complete,16.137533,52.4,32.5,68.5,31.4
3857255,2022-12-01,Group Stage,Japan,1,1,3,Spain,3477,Álvaro Borja Morata Martín,6892,Pau Francisco Torres,Complete,18.53672,68.9,31.6,50.8,27.6
3857255,2022-12-01,Group Stage,Japan,1,1,6,Spain,6892,Pau Francisco Torres,39161,Alejandro Balde Martínez,Complete,21.540659,51.3,25.3,62.5,6.9
3857255,2022-12-01,Group Stage,Japan,1,1,8,Spain,39161,Alejandro Balde Martínez,6892,Pau Francisco Torres,Complete,21.931713,62.5,6.9,43.3,17.5
3857255,2022-12-01,Group Stage,Japan,1,1,12,Spain,6892,Pau Francisco Torres,6765,Rodrigo Hernández Cascante,Complete,29.811743,44.3,23.7,48.6,53.2
3857255,2022-12-01,Group Stage,Japan,1,1,15,Spain,6765,Rodrigo Hernández Cascante,133353,Pablo Martín Páez Gavira,Complete,12.419743,52.1,55.2,64.5,55.9
3857255,2022-12-01,Group Stage,Japan,1,1,16,Spain,133353,Pablo Martín Páez Gavira,6765,Rodrigo Hernández Cascante,Complete,13.0311165,64.5,55.9,51.5,55.0
3857255,2022-12-01,Group Stage,Japan,1,1,21,Spain,6765,Rodrigo Hernández Cascante,6892,Pau Francisco Torres,Complete,18.595161,60.6,47.3,54.9,29.6
3857255,2022-12-01,Group Stage,Japan,1,1,23,Spain,6892,Pau Francisco Torres,30486,Pedro González López,Complete,15.970284,55.1,28.7,60.0,13.5
3857255,2022-12-01,Group Stage,Japan,1,1,27,Spain,30486,Pedro González López,133353,Pablo Martín Páez Gavira,Complete,29.972155,58.8,17.1,67.1,45.9
3857255,2022-12-01,Group Stage,Japan,1,1,31,Spain,133353,Pablo Martín Páez Gavira,68574,Nicholas Williams Arthuer,Complete,6.7675695,74.7,59.9,76.9,66.3
