match_id,fecha,fase,oponente,periodo,minuto,segundo,equipo,jugador_id,jugador_nombre,receptor_id,receptor_nombre,resultado,longitud_pase,inicio_x,inicio_y,fin_x,fin_y
3857275,2022-11-30,Group Stage,Tunisia,1,0,34,France,3543,Steve Mandanda,5485,Raphaël Varane,Complete,17.394827,11.4,47.0,23.7,59.3
3857275,2022-11-30,Group Stage,Tunisia,1,0,38,France,5485,Raphaël Varane,7439,Axel Disasi,Complete,13.421252,32.5,63.7,34.3,77.0
3857275,2022-11-30,Group Stage,Tunisia,1,0,43,France,7439,Axel Disasi,,,Incomplete,5.2,26.7,78.0,31.9,78.0
3857275,2022-11-30,Group Stage,Tunisia,1,1,1,France,7439,Axel Disasi,22097,Randal Kolo Muani,Complete,14.464093,33.3,80.0,47.2,76.0
3857275,2022-11-30,Group Stage,Tunisia,1,1,59,France,3543,Steve Mandanda,5485,Raphaël Varane,Complete,23.769308,8.8,35.4,22.1,55.1
3857275,2022-11-30,Group Stage,Tunisia,1,2,4,France,5485,Raphaël Varane,11135,Ibrahima Konaté,Complete,22.144299,23.3,54.9,21.9,32.8
3857275,2022-11-30,Group Stage,Tunisia,1,2,6,France,11135,Ibrahima Konaté,24778,Eduardo Camavinga,Complete,21.134096,23.5,29.6,24.7,8.5
3857275,2022-11-30,Group Stage,Tunisia,1,2,12,France,24778,Eduardo Camavinga,3543,Steve Mandanda,Complete,35.31147,21.5,6.1,2.4,35.8
3857275,2022-11-30,Group Stage,Tunisia,1,2,22,France,3543,Steve Mandanda,,,Unknown,8.683317,2.4,35.8,10.0,31.6
3857275,2022-11-30,Group Stage,Tunisia,1,3,7,France,3543,Steve Mandanda,,,Incomplete,62.471195,29.7,53.9,91.8,60.7
3857275,2022-11-30,Group Stage,Tunisia,1,3,36,France,5485,Raphaël Varane,,,Incomplete,4.0199504,63.1,75.8,67.1,75.4
3857275,2022-11-30,Group Stage,Tunisia,1,5,20,France,24778,Eduardo Camavinga,11135,Ibrahima Konaté,Complete,8.4,70.9,0.1,70.9,8.5
3857275,2022-11-30,Group Stage,Tunisia,1,5,22,France,11135,Ibrahima Konaté,7439,Axel Disasi,Complete,54.689396,70.9,8.5,49.2,58.7
3857275,2022-11-30,Group Stage,Tunisia,1,5,23,France,7439,Axel Disasi,5485,Raphaël Varane,Complete,9.449339,49.8,73.0,43.8,65.7
3857275,2022-11-30,Group Stage,Tunisia,1,5,26,France,5485,Raphaël Varane,3543,Steve Mandanda,Complete,30.881872,45.4,70.7,20.9,51.9
3857275,2022-11-30,Group Stage,Tunisia,1,5,31,France,3543,Steve Mandanda,,,Incomplete,57.666714,21.7,51.9,77.3,36.6
3857275,2022-11-30,Group Stage,Tunisia,1,5,58,France,7439,Axel Disasi,5485,Raphaël Varane,Complete,68.55837,80.7,80.0,68.7,12.5
3857275,2022-11-30,Group Stage,Tunisia,1,5,58,France,5485,Raphaël Varane,24778,Eduardo Camavinga,Complete,19.800253,68.9,12.7,53.0,24.5
3857275,2022-11-30,Group Stage,Tunisia,1,5,59,France,24778,Eduardo Camavinga,11135,Ibrahima Konaté,Complete,16.360012,63.5,11.9,52.6,24.1
3857275,2022-11-30,Group Stage,Tunisia,1,6,1,France,11135,Ibrahima Konaté,5485,Raphaël Varane,Complete,26.394697,52.6,24.1,49.4,50.3
3857275,2022-11-30,Group Stage,Tunisia,1,6,4,France,5485,Raphaël Varane,7439,Axel Disasi,Complete,21.868927,51.2,55.9,55.2,77.4
3857275,2022-11-30,Group Stage,Tunisia,1,6,7,France,7439,Axel Disasi,8217,Kingsley Coman,Complete,15.520632,55.2,77.4,70.7,76.6
3857275,2022-11-30,Group Stage,Tunisia,1,6,11,France,8217,Kingsley Coman,10481,Aurélien Djani Tchouaméni,Complete,19.331322,67.5,59.9,56.8,43.8
3857275,2022-11-30,Group Stage,Tunisia,1,6,14,France,10481,Aurélien Djani Tchouaméni,8217,Kingsley Coman,Incomplete,18.709623,57.8,43.2,76.5,43.8
3857275,2022-11-30,Group Stage,Tunisia,1,6,18,France,7153,Jordan Veretout,24778,Eduardo Camavinga,Complete,15.283978,67.5,22.3,69.1,7.1
