match_id,fecha,fase,oponente,periodo,minuto,segundo,equipo,jugador_id,jugador_nombre,receptor_id,receptor_nombre,resultado,longitud_pase,inicio_x,inicio_y,fin_x,fin_y
3857274,2022-11-25,Group Stage,Ecuador,1,0,9,Netherlands,8125,Denzel Dumfries,7891,Teun Koopmeiners,Complete,4.438468,21.6,55.2,25.7,53.5
3857274,2022-11-25,Group Stage,Ecuador,1,0,14,Netherlands,4318,Davy Klaassen,8125,Denzel Dumfries,Complete,8.130191,28.5,53.0,29.2,61.1
3857274,2022-11-25,Group Stage,Ecuador,1,0,17,Netherlands,8125,Denzel Dumfries,20750,Cody Mathès Gakpo,Incomplete,2.7730849,49.3,75.9,50.5,73.4
3857274,2022-11-25,Group Stage,Ecuador,1,0,38,Netherlands,8125,Denzel Dumfries,8259,Steven Bergwijn,Incomplete,36.144848,60.0,80.0,92.7,64.6
3857274,2022-11-25,Group Stage,Ecuador,1,0,48,Netherlands,3306,Nathan Aké,,,Incomplete,22.649725,66.9,36.8,89.4,34.2
3857274,2022-11-25,Group Stage,Ecuador,1,1,1,Netherlands,21809,Jurriën David Norman Timber,8259,Steven Bergwijn,Incomplete,25.623621,56.1,62.8,81.7,63.9
3857274,2022-11-25,Group Stage,Ecuador,1,1,8,Netherlands,7891,Teun Koopmeiners,8118,Frenkie de Jong,Complete,8.280097,64.7,50.6,58.1,45.6
3857274,2022-11-25,Group Stage,Ecuador,1,1,9,Netherlands,8118,Frenkie de Jong,3311,Daley Blind,Complete,24.773575,59.3,44.1,54.0,19.9
3857274,2022-11-25,Group Stage,Ecuador,1,1,11,Netherlands,3311,Daley Blind,3306,Nathan Aké,Complete,15.611855,50.9,20.9,37.1,28.2
3857274,2022-11-25,Group Stage,Ecuador,1,1,16,Netherlands,3306,Nathan Aké,3669,Virgil van Dijk,Complete,24.473047,43.5,29.2,37.8,53.0
3857274,2022-11-25,Group Stage,Ecuador,1,1,19,Netherlands,3669,Virgil van Dijk,3306,Nathan Aké,Complete,19.725365,39.2,52.7,40.2,33.0
3857274,2022-11-25,Group Stage,Ecuador,1,1,26,Netherlands,3306,Nathan Aké,3311,Daley Blind,Complete,17.6,56.9,22.0,56.9,4.4
3857274,2022-11-25,Group Stage,Ecuador,1,1,28,Netherlands,3311,Daley Blind,3669,Virgil van Dijk,Complete,30.630703,56.9,4.4,33.7,24.4
3857274,2022-11-25,Group Stage,Ecuador,1,1,33,Netherlands,3669,Virgil van Dijk,8259,Steven Bergwijn,Incomplete,52.04325,40.2,37.9,91.7,45.4
3857274,2022-11-25,Group Stage,Ecuador,1,1,38,Netherlands,8118,Frenkie de Jong,20750,Cody Mathès Gakpo,Complete,4.0853395,79.9,33.7,81.4,29.9
3857274,2022-11-25,Group Stage,Ecuador,1,1,40,Netherlands,20750,Cody Mathès Gakpo,4318,Davy Klaassen,Complete,11.198661,78.3,34.1,89.3,36.2
3857274,2022-11-25,Group Stage,Ecuador,1,1,41,Netherlands,4318,Davy Klaassen,8118,Frenkie de Jong,Complete,10.358571,89.3,36.2,80.4,30.9
3857274,2022-11-25,Group Stage,Ecuador,1,1,45,Netherlands,8118,Frenkie de Jong,3311,Daley Blind,Complete,17.54537,81.0,26.6,73.8,10.6
3857274,2022-11-25,Group Stage,Ecuador,1,1,48,Netherlands,3311,Daley Blind,3306,Nathan Aké,Complete,19.209373,70.3,15.1,51.7,19.9
3857274,2022-11-25,Group Stage,Ecuador,1,1,52,Netherlands,3306,Nathan Aké,3669,Virgil van Dijk,Complete,22.751703,51.9,26.6,46.1,48.6
3857274,2022-11-25,Group Stage,Ecuador,1,1,58,Netherlands,3669,Virgil van Dijk,21809,Jurriën David Norman Timber,Out,34.021904,55.4,53.0,76.1,80.0
3857274,2022-11-25,Group Stage,Ecuador,1,2,37,Netherlands,3311,Daley Blind,4318,Davy Klaassen,Complete,5.192302,73.3,2.9,74.7,7.9
3857274,2022-11-25,Group Stage,Ecuador,1,2,38,Netherlands,4318,Davy Klaassen,8118,Frenkie de Jong,Complete,7.3756356,74.7,7.9,80.3,3.1
3857274,2022-11-25,Group Stage,Ecuador,1,2,39,Netherlands,8118,Frenkie de Jong,8259,Steven Bergwijn,Complete,4.3324356,80.3,3.1,81.7,7.2
